Time (days),Min,hours,Atm Temp degC,Foundation Temp ,BH1-1(14.6m),BH1-2 (9.8m),BH1-3(7.3m),BH1-4 (3.7m),BH1-5 (1.8m),BH1-6 (0.6m),BH2 -1 ,BH2 -2 ,BH2-3,BH2-4,BH2-5,BH2-6
0,0,0,22.000362,9.550079,9.469849,9.421661,9.212952,8.351807,8.983734,10.69278,9.395111,9.455231,9.257507,8.384644,10.091248,13.35849
0.003285,4.7304,0.07884,22.056843,9.550171,9.470978,9.421631,9.212708,8.351898,8.98407,10.693146,9.395142,9.4552,9.257294,8.384674,10.091553,13.358521
0.00657,9.4608,0.15768,22.113323,9.550323,9.470428,9.421753,9.21286,8.351868,8.984283,10.693329,9.395294,9.455261,9.257507,8.384888,10.092072,13.358459
0.01022,14.7168,0.24528,22.224026,9.550079,9.470673,9.421722,9.212769,8.35202,8.984467,10.694031,9.395142,9.455048,9.257477,8.38501,10.092285,13.3591
0.01387,19.9728,0.33288,22.307613,9.550049,9.470642,9.421814,9.212799,8.352173,8.984711,10.694275,9.395355,9.454987,9.257477,8.385254,10.092773,13.359161
0.017155,24.7032,0.41172,22.447689,9.550079,9.470825,9.42157,9.21286,8.35202,8.984711,10.694824,9.395142,9.455109,9.257568,8.385345,10.093414,13.359558
0.020805,29.9592,0.49932,22.558392,9.550049,9.4711,9.421661,9.212677,8.352081,8.984924,10.69519,9.395203,9.455109,9.257507,8.385406,10.093719,13.359619
0.02409,34.6896,0.57816,22.644245,9.55014,9.471069,9.421448,9.212616,8.352142,8.985168,10.695648,9.395355,9.455048,9.257507,8.38559,10.094025,13.359955
0.02774,39.9456,0.66576,22.754948,9.550049,9.471344,9.421692,9.212799,8.352264,8.985413,10.695801,9.395447,9.455017,9.25766,8.385437,10.09433,13.359924
0.031025,44.676,0.7446,22.867908,9.549835,9.471161,9.421661,9.21283,8.352509,8.985596,10.696228,9.395294,9.454865,9.257629,8.385773,10.095001,13.360382
0.034675,49.932,0.8322,22.980877,9.550079,9.470764,9.421478,9.212738,8.352478,8.985687,10.696808,9.395477,9.454987,9.257477,8.38562,10.095245,13.361053
0.03796,54.6624,0.91104,23.066723,9.550049,9.470581,9.42157,9.212463,8.352478,8.986053,10.697205,9.395355,9.454956,9.257629,8.386047,10.095581,13.360809
0.04161,59.9184,0.99864,23.152576,9.549957,9.469818,9.421661,9.212494,8.352539,8.986115,10.69751,9.395355,9.454987,9.257507,8.386017,10.096191,13.360748
0.044895,64.6488,1.07748,23.265537,9.549835,9.470367,9.421753,9.212524,8.352478,8.986389,10.697845,9.395294,9.454895,9.257538,8.38623,10.096405,13.361023
0.048545,69.9048,1.16508,23.380764,9.549866,9.469971,9.42157,9.212616,8.352783,8.98645,10.698273,9.395142,9.454987,9.257599,8.386261,10.096741,13.361359
0.05183,74.6352,1.24392,23.495983,9.549957,9.471283,9.421631,9.212677,8.352509,8.986877,10.698669,9.395233,9.454742,9.257629,8.386353,10.097198,13.361725
0.05548,79.8912,1.33152,23.608944,9.549652,9.471069,9.421722,9.212677,8.352753,8.986908,10.699341,9.395386,9.454773,9.257629,8.386414,10.097534,13.361938
0.058765,84.6216,1.41036,23.753536,9.550598,9.471039,9.4216,9.212524,8.352936,8.986877,10.699432,9.395264,9.454834,9.257568,8.386597,10.097992,13.362488
0.062415,89.8776,1.49796,23.868763,9.550568,9.470062,9.421417,9.212524,8.352905,8.987152,10.699707,9.395111,9.454987,9.25766,8.386749,10.09848,13.362671
0.0657,94.608,1.5768,23.98624,9.55069,9.471405,9.421539,9.212524,8.352997,8.987579,10.699982,9.395477,9.454865,9.257416,8.386719,10.098938,13.362518
0.06935,99.864,1.6644,24.130833,9.550446,9.470886,9.421478,9.212524,8.35318,8.987579,10.700531,9.395264,9.454895,9.257568,8.386902,10.099243,13.362518
0.072635,104.5944,1.74324,24.24831,9.550323,9.471649,9.4216,9.212494,8.353302,8.987854,10.700989,9.395142,9.45462,9.257751,8.387085,10.099762,13.361969
0.076285,109.8504,1.83084,24.363537,9.550476,9.471252,9.421326,9.212524,8.353149,8.988068,10.701355,9.395203,9.455017,9.257629,8.387085,10.100037,13.362274
0.07957,114.5808,1.90968,24.451649,9.550354,9.470795,9.421417,9.21228,8.353271,8.988129,10.701599,9.395233,9.454865,9.25769,8.387207,10.100494,13.362396
0.08322,119.8368,1.99728,24.481014,9.550293,9.471527,9.421478,9.212372,8.353363,8.988342,10.701935,9.395508,9.454712,9.257751,8.387421,10.100983,13.362762
0.086505,124.5672,2.07612,24.481014,9.550507,9.470978,9.421356,9.21228,8.353363,8.988678,10.702393,9.395233,9.454834,9.25766,8.388245,10.101349,13.363678
0.090155,129.8232,2.16372,24.451649,9.550323,9.471008,9.421478,9.212494,8.353455,8.988861,10.702942,9.395355,9.454742,9.257843,8.387512,10.101685,13.363739
0.09344,134.5536,2.24256,24.451649,9.55072,9.470795,9.421234,9.212128,8.353485,8.988922,10.703308,9.395294,9.454651,9.257629,8.387726,10.102051,13.365295
0.09709,139.8096,2.33016,24.451649,9.552399,9.472717,9.421448,9.212189,8.353638,8.989075,10.703735,9.395355,9.454651,9.25766,8.387695,10.102448,13.365601
0.100375,144.54,2.409,24.451649,9.555573,9.470978,9.421539,9.212433,8.353638,8.989227,10.704193,9.395294,9.454529,9.257751,8.387848,10.103119,13.365601
0.104025,149.796,2.4966,24.481014,9.560028,9.470703,9.421417,9.212219,8.353577,8.989532,10.70462,9.395142,9.454498,9.25766,8.387878,10.103241,13.365662
0.10731,154.5264,2.57544,24.481014,9.565155,9.470917,9.421204,9.212219,8.353882,8.989777,10.705109,9.395264,9.454437,9.257874,8.388062,10.103607,13.365356
